"sample_name","genus_tax_id","name","category","nt_rpm","nt_count","nt_alignment_length","nr_count","p_adj"
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium pseudoperiodonticum","bacteria",298.0188788,15401,232.3,2415,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium hwasookii","bacteria",144.2201613,7453,167.62,1138,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium periodonticum","bacteria",35.72124215,1846,168.321,2221,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium canifelinum","bacteria",59.13549079,3056,156.995,365,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium sp. oral taxon 203","bacteria",29.50969354,1525,161.517,104,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium sp. NSJ-57","bacteria",13.19712196,682,89.8033,422,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium varium","bacteria",8.823882134,456,106.709,284,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium ulcerans","bacteria",6.192197989,320,73.4286,293,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium mortiferum","bacteria",5.805185614,300,82.4667,83,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",184869,"Varibaculum cambriense","bacteria",0.019350619,1,117,77845,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",184869,"Varibaculum sp.","bacteria",8.978687084,464,206.022,291,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",184869,"Varibaculum timonense","bacteria",0.019350619,1,146,19,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",39948,"Dialister micraerophilus","bacteria",3.541163225,183,184.83,63505,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",39948,"Dialister pneumosintes","bacteria",79.00857621,4083,372.053,399,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",39948,"Dialister hominis","bacteria",12.0941367,625,91.3404,346,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",39948,"Dialister massiliensis","bacteria",23.76255978,1228,322.028,162,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides fragilis","bacteria",766.4006048,39606,2155.62,16728,6.48818031592191e-22
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides ovatus","bacteria",218.7780952,11306,365.998,2535,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides xylanisolvens","bacteria",191.5711253,9900,11718.1,2792,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides caccae","bacteria",84.23324327,4353,115.9,6416,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides cellulosilyticus","bacteria",144.8780823,7487,138.471,450,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides uniformis","bacteria",27.710086,1432,132.52,3833,3.17019459116449e-133
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides thetaiotaomicron","bacteria",65.09548136,3364,148.298,1519,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides heparinolyticus","bacteria",58.70977718,3034,781.782,276,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides sp. CBA7301","bacteria",39.90097579,2062,83.1351,6,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides zoogleoformans","bacteria",32.91540243,1701,143.967,62,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides intestinalis","bacteria",26.85865878,1388,203.4,131,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",816,"Bacteroides caecimuris","bacteria",20.85996697,1078,130.104,16,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1350,"Enterococcus faecalis","bacteria",7.121027687,368,75.2065,32730,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1350,"Enterococcus faecium","bacteria",13.66153681,706,207.297,1858,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1350,"Enterococcus mundtii","bacteria",2.612333527,135,149.484,1,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1350,"Enterococcus silesiacus","bacteria",0.870777842,45,77.1429,3,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus pyogenes","bacteria",564.3414442,29164,1224.42,7069,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus anginosus","bacteria",284.8411075,14720,247.597,7138,1.6486698266666e-15
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus agalactiae","bacteria",191.3776191,9890,312.985,31706,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus pneumoniae","bacteria",638.5704176,33000,16794.7,11313,1.49445056533642e-122
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus pseudoporcinus","bacteria",108.2086599,5592,327.793,1329,0
