"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",214906,2,214906,"Histophilus","","bacteria","false",97852.0484320915,100,100,8.02065970754848,250,2,229,97.3507,559.675,"10^-249.938",NA,NA,NA,NA,100,1.76454513566067,55,1,15,90.7496,34.5714,"10^1.11321e-08",NA,NA,NA,NA,"[731]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1738645,2,1738645,"Caproiciproducens","","bacteria","false",97305.9119960745,100,39.2167303519003,14.8542617783798,463,4,317,88.3074,95.5625,"10^-21.8129",0.263089,0.372065,NA,NA,100,8.14899026286925,254,3,36,72.1347,53.0357,"10^1.21169e-05",NA,NA,NA,NA,"[642589, 2721621, 2507162]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1918385,2,1918385,"Acutalibacter","","bacteria","false",96889.5692671856,100,100,2.75910693939668,86,2,38,88.4694,138.613,"10^-40.2898",NA,NA,NA,NA,100,7.69983331924654,240,3,157,50.2695,160.761,"10^0.000466453",NA,NA,NA,NA,"[1796620, 2320852, 2320081]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2767885,2,2767885,"Latilactobacillus","","bacteria","false",90340.628136146,100,100,29.8689367509105,931,1,894,83.1611,196.327,"10^-40.3798",NA,NA,NA,NA,100,1.73246249683047,54,NA,NA,71.6066,40.1667,"10^0.00792347",NA,NA,NA,NA,"[28038, 1599, 60519]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",397864,2,397864,"Barnesiella","","bacteria","false",90152.2151128449,100,100,8.59814720649197,268,4,106,91.0227,112.615,"10^-38.7955",NA,NA,NA,NA,100,16.2017326092479,505,5,128,81.6624,62.2381,"10^1.49362e-05",NA,NA,NA,NA,"[397865, 487174, 1965646, 2558278, 1965590]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2692382,2,2692382,"Gudongella","","bacteria","false",87906.4303947313,100,100,8.437734012341,263,2,114,86.8206,103.41,"10^-27.8685",NA,NA,NA,NA,100,0.352909027132133,11,NA,NA,85.4143,33.1429,"10^1.95557e-08",NA,NA,NA,NA,"[1582259]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",28453,2,28453,"Sphingobacterium","","bacteria","false",83994.9004692017,100,23.39084793673,59.1924686417078,1845,3,1538,87.6664,81.4838,"10^-15.7496",3.03806,2.4007,NA,NA,100,8.69439512298255,271,6,165,67.648,81.358,"10^0.00315991",NA,NA,NA,NA,"[561061, 1385985, 2050894, 2675553, 28454, 1538644, 2003121, 1145106, 1434842, 258, 363260, 1437280, 371142, 2420510, 1874115, 259, 649196, 459529, 1590596, 797291, 2557994, 2605433, 2082722, 415956, 2763501, 2737006, 2571155, 1742264, 403776, 2662364, 1010, 2484746, 2795738, 743722, 1933220, 710992, 2713573]",0,0.0916025930951304,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1505664,2,1505664,"Gottschalkia","","bacteria","false",77319.1595807673,100,100,7.47525484743518,233,2,43,85.17,106.908,"10^-27.819",NA,NA,NA,NA,100,0.352909027132133,11,1,8,61.6611,67.5714,"10^9.14743e-20",NA,NA,NA,NA,"[1556, 1503]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",447020,2,447020,"Adlercreutzia","","bacteria","false",75715.0276392576,100,100,5.13322221283103,160,NA,NA,92.0893,140.833,"10^-62.9125",NA,NA,NA,NA,100,14.9184270560402,465,4,80,85.8112,67.25,"10^6.2943e-06",NA,NA,NA,NA,"[2479837, 446660, 2707299, 747645, 2709409, 2709405, 2722822, 2709406, 671266, 1796610]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1016,2,1016,"Capnocytophaga","","bacteria","false",75134.0056166667,100,26.0506968579666,107.958079663603,3365,8,2999,85.5022,111.763,"10^-25.4479",3.87747,3.99531,NA,NA,100,11.1968409517377,349,10,225,59.791,72.1048,"10^0.0497662",NA,NA,NA,NA,"[1019, 1018, 44737, 28188, 28189, 1227265, 1848904, 1316596, 2545799, 45243, 712216, 710239, 1316593, 712213, 2708117, 1945658, 2795028, 1848903, 712212, 45242, 2748316, 1705617, 712211, 1017, 327575]",0,0.0436202824262526,0,0
