"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",292691,2,292691,"Gramella","","bacteria","false",23925.8997018372,100,100,3.07618710452193,54,NA,NA,90.0934,78,"10^-28.9573",NA,NA,NA,NA,100,2.62045568162979,46,NA,NA,68.481,45.3333,"10^9.90633e-10",NA,NA,NA,NA,"[1250205, 279359, 2126553, 411153]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",2742,2,2742,"Marinobacter","","bacteria","false",23356.2354232221,100,100,1.76595926370703,31,NA,NA,88.573,73,"10^-23.6265",NA,NA,NA,NA,100,1.36719426867641,24,NA,NA,71.6333,41.3333,"10^0.000102137",NA,NA,NA,NA,"[2587869, 1794906, 1671721]",0,0.00055240043283951,2.44564416785948e-82,2.68480810856498e-82
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",704093,2,704093,"Anaerobacillus","","bacteria","false",23356.235423222,100,100,1.9938249751531,35,NA,NA,95.7243,111,"10^-57.2787",NA,NA,NA,NA,100,3.13315353238345,55,NA,NA,84.8417,35.5833,"10^1.54334e-06",NA,NA,NA,NA,"[472963, 1532552, 393763]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",171,2,171,"Leptospira","","bacteria","false",22216.9068659917,100,100,2.44955639804524,43,NA,NA,85.1178,107.333,"10^-39.5084",NA,NA,NA,NA,100,1.652026407984,29,NA,NA,61,38.5,"10^0.000514",NA,NA,NA,NA,"[173, 174, 172]",2,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",333750,2,333750,"Alphapapillomavirus","","viruses","false",20507.9140301462,100,100,1.02539570150731,18,NA,NA,100,103.5,"10^-58.1143",NA,NA,NA,NA,100,1.02539570150731,18,NA,NA,100,35,"10^8.175e-07",NA,NA,NA,NA,"[333766]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",28100,2,28100,"Phyllobacterium","","bacteria","false",19368.5854729158,100,100,1.93685854729158,34,NA,NA,77.465,71,"10^-13.9896",NA,NA,NA,NA,100,0.683597134338206,12,NA,NA,48,50,"10^7.86e-13",NA,NA,NA,NA,"[1867719, 1449065]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",1257,2,1257,"Peptostreptococcus","","bacteria","false",19368.5854729158,100,100,0.683597134338206,12,NA,NA,99.16,112.333,"10^-62.5159",NA,NA,NA,NA,100,2.67742210949131,47,NA,NA,83,45.4286,"10^9.67204e-13",NA,NA,NA,NA,"[72304, 1261, 169971, 215200, 1159213]",1,0.000109488106851666,7.32457791005421e-44,7.89149570495004e-44
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",1913599,2,1913599,"Peptoanaerobacter","","bacteria","false",18798.9211943007,100,100,1.652026407984,29,NA,NA,98.592,142,"10^-81.6209",NA,NA,NA,NA,100,0.227865711446069,4,NA,NA,91.7,48,"10^2.98e-19",NA,NA,NA,NA,"[39498]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",354354,2,354354,"Niastella","","bacteria","false",18798.9211943007,100,100,0.626630706476689,11,NA,NA,86.696,79,"10^-20.052",NA,NA,NA,NA,100,3.13315353238345,55,NA,NA,74.4024,51.6,"10^3.54525e-12",NA,NA,NA,NA,"[1660119, 354356]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",143222,2,143222,"Salegentibacter","","bacteria","false",18798.9211943007,100,100,2.84832139307586,50,NA,NA,86.3193,79,"10^-23.0231",NA,NA,NA,NA,100,0.227865711446069,4,NA,NA,70,33,"10^1.4615e-06",NA,NA,NA,NA,"[1729720, 143223, 1930251, 270918]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",1981050,2,1981050,"Phoenicibacter","","bacteria","false",18229.2569156855,100,100,1.59505998012248,28,NA,NA,89.6565,121,"10^-52.1905",NA,NA,NA,NA,100,0.227865711446069,4,NA,NA,66.7,33,"10^2.54e-10",NA,NA,NA,NA,"[1944646]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",269258,2,269258,"Nitratiruptor","","bacteria","false",18229.2569156855,100,100,1.82292569156855,32,NA,NA,84.6857,108.667,"10^-36.4738",NA,NA,NA,NA,100,0.341798567169103,6,NA,NA,75.7,37,"10^5.8e-12",NA,NA,NA,NA,"[2706014, 2724901]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",1266,2,1266,"Sarcina","","bacteria","false",18229.2569156855,100,100,1.82292569156855,32,NA,NA,90.688,100.5,"10^-42.3256",NA,NA,NA,NA,100,0.113932855723034,2,NA,NA,100,39,"10^3.91e-19",NA,NA,NA,NA,"[2726954, 1798184]",0,0,0,0
